Year,Forecast_CO2
2019,5299.863851204829
2020,5293.836762759285
2021,5288.895784730637
2022,5284.845194781584
2023,5281.52454068431
2024,5278.802284476587
2025,5276.570591971619
2026,5274.741061223336
2027,5273.241220742865
2028,5272.011658753285
2029,5271.003669766518
2030,5270.177325258431
2031,5269.499892017581
2032,5268.944535515157
2033,5268.48925693391
2034,5268.116021749595
2035,5267.810045346248
2036,5267.559207367035
2037,5267.353571601899
2038,5267.184992393774
